question,passage_title,sia_score
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?alcohol",Benzamide,1.6
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?alcohol",Gold(III) chloride,1.52
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?alcohol",Chloride,1.8
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?Jonathan Stark",Li Na,1.36
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?Jonathan Stark",Williams sisters,1.32
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?Jonathan Stark",Henri Leconte,2.06
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?Jonathan Stark",Steffi Graf,1.78
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?Jonathan Stark",1986 Grand Prix German Open,1.64
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?Jonathan Stark",Jonathan Stark (tennis),2.11
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?Jonathan Stark",Pam Teeguarden,1.21
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?Jonathan Stark",Ken Rosewall,1.57
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?Jonathan Stark",2009 Serena Williams tennis season,1.4
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?Jonathan Stark",Larisa Neiland,1.24
Which genus of moth in the world's seventh-largest country contains only one species?Crambidae,India,0.64
Which genus of moth in the world's seventh-largest country contains only one species?Crambidae,List of companies of India,1.04
Which genus of moth in the world's seventh-largest country contains only one species?Crambidae,Eutrapela,1.23
Which genus of moth in the world's seventh-largest country contains only one species?Crambidae,Geography of India,0.72
Which genus of moth in the world's seventh-largest country contains only one species?Crambidae,Yoshiyasua,1.57
Which genus of moth in the world's seventh-largest country contains only one species?Crambidae,Nepita,1.61
Which genus of moth in the world's seventh-largest country contains only one species?Crambidae,Parectropis,1.63
Which genus of moth in the world's seventh-largest country contains only one species?Crambidae,Indogrammodes,1.54
Which genus of moth in the world's seventh-largest country contains only one species?Crambidae,Eumacaria,1.29
Which genus of moth in the world's seventh-largest country contains only one species?Crambidae,Nymphuliella,1.66
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.Badr Hari",Verano de Escándalo (1998),0.54
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.Badr Hari",Triplemanía VII,0.4
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.Badr Hari",Protection racket,0.39
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.Badr Hari",E. Gordon Gee,0.24
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.Badr Hari",Badr Hari,2.59
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.Badr Hari",Guerra de Titanes (1998),0.36
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.Badr Hari",Global Fighting Championship,1.15
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.Badr Hari",Outrageous Betrayal,0.29
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.Badr Hari",Betting controversies in cricket,0.84
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.Badr Hari",Prosecution of gender-targeted crimes,0.28
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?2006",House of Anubis,1.56
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?2006",Batibot,1.04
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?2006",Wolfblood,1.01
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?2006",List of House of Anubis episodes,2.04
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?2006",Majisuka Gakuen,0.8
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?2006",Graduation Day (Buffy the Vampire Slayer),0.72
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?2006",Fish Police (TV series),0.95
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?2006",Nathalia Ramos,0.91
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?2006",Het Huis Anubis,1.84
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?2006",Das Haus Anubis,1.57
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?6.213 km long,Mount Panorama Circuit,1.91
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?6.213 km long,2016 Intercontinental GT Challenge,1.48
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?6.213 km long,Bathurst 12 Hour,1.28
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?6.213 km long,2018 Intercontinental GT Challenge,1.51
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?6.213 km long,2016 Liqui Moly Bathurst 12 Hour,1.7
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?6.213 km long,2017 Intercontinental GT Challenge,1.26
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?6.213 km long,2013 Liqui Moly Bathurst 12 Hour,1.78
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?6.213 km long,2015 Liqui Moly Bathurst 12 Hour,2.11
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?6.213 km long,2017 Liqui Moly Bathurst 12 Hour,1.56
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?6.213 km long,2014 Liqui Moly Bathurst 12 Hour,2.22
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Lights Out Paris,1.16
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",El-P,1.94
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Born and Raised (EP),1.27
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Lord Steppington,1.45
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Control Freek,1.23
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Hip hop,1.16
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline","Fast Cars, Danger, Fire and Knives",1.56
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Longterm Mentality,1.27
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Experimental hip hop,1.4
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?Jaime Meline",Changes (Alyson Avenue album),1.12
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Louis Stevens (writer),0.83
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",The Lone Gunmen,1.14
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Hermanos de Pistoleros Latinos,0.98
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Piranha (1972 film),1.61
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Gunmen from Laredo,2.46
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Seemanto-heera,0.56
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Frontier Texas!,1.09
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Walter Coy,1.73
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Max McLean,0.57
"Gunmen from Laredo starred which narrator of ""Frontier""?Walter Darwin Coy",Bruce Harwood,0.78
Where did the form of music played by Die Rhöner Säuwäntzt originate?United States,Pantun Sunda,0.66
Where did the form of music played by Die Rhöner Säuwäntzt originate?United States,Bubu music,1.17
Where did the form of music played by Die Rhöner Säuwäntzt originate?United States,Peşrev,1.08
Where did the form of music played by Die Rhöner Säuwäntzt originate?United States,Skiffle,0.92
Where did the form of music played by Die Rhöner Säuwäntzt originate?United States,Cachi Cachi music,0.81
Where did the form of music played by Die Rhöner Säuwäntzt originate?United States,Background music,1.25
Where did the form of music played by Die Rhöner Säuwäntzt originate?United States,Kantrum,1.02
Where did the form of music played by Die Rhöner Säuwäntzt originate?United States,Chillador,0.92
Where did the form of music played by Die Rhöner Säuwäntzt originate?United States,Die Rhöner Säuwäntzt,1.44
Where did the form of music played by Die Rhöner Säuwäntzt originate?United States,Minoru Kojima,0.62
In which American football game was Malcolm Smith named Most Valuable player?Super Bowl XLVIII,Winston Lagoon,0.23
In which American football game was Malcolm Smith named Most Valuable player?Super Bowl XLVIII,Malcolm Smith (American football),2.03
In which American football game was Malcolm Smith named Most Valuable player?Super Bowl XLVIII,Super Bowl XLVIII,1.32
In which American football game was Malcolm Smith named Most Valuable player?Super Bowl XLVIII,2013 NBA Summer League,0.79
In which American football game was Malcolm Smith named Most Valuable player?Super Bowl XLVIII,Steve Clark (American football),1.14
In which American football game was Malcolm Smith named Most Valuable player?Super Bowl XLVIII,1959 Illinois Fighting Illini football team,0.94
In which American football game was Malcolm Smith named Most Valuable player?Super Bowl XLVIII,103rd Grey Cup,0.92
In which American football game was Malcolm Smith named Most Valuable player?Super Bowl XLVIII,"Richard Smith (rugby union, born 1973)",0.7
In which American football game was Malcolm Smith named Most Valuable player?Super Bowl XLVIII,Kevin Durant,0.78
In which American football game was Malcolm Smith named Most Valuable player?Super Bowl XLVIII,Super Bowl Most Valuable Player Award,1.44
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?US 60",Zilpo Road,1.79
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?US 60",RISE (sculpture),0.4
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?US 60",Peterman Hill,1.43
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?US 60",Arkansas Highway 113,1.06
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?US 60",California State Route 266,1.27
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?US 60","Morehead, Kentucky",1.12
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?US 60",Roman bridge of Salamanca,0.5
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?US 60","Hawks Nest, West Virginia",0.99
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?US 60",Hawaii Route 64,1.05
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?US 60","Glen Ferris, West Virginia",1.1
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?2006",Shane Stanley,1.02
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?2006",Robert Cummings,1.03
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?2006",Beau Bridges,0.96
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?2006",Annette Bening,1.25
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?2006",Farrah Fawcett,0.93
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?2006",List of stars on the Hollywood Walk of Fame,1.38
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?2006",Kevin Bacon,0.96
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?2006",Larry R. Williams,0.88
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?2006",The Great Outdoors (film),1.87
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?2006",John Lithgow,1.27
"What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Joey Vera,1.04
"What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Hurt Locker (musical),1.09
"What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Obús,1.1
"What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Metal Health,1.07
"What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Joey Jordison,1.12
"What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Black 'n Blue,1.44
"What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Machine Head (band),1.57
"What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Dan Spitz,1.1
"What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Nu metal,1.29
"What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Metallica,2.14
"Human Error"" is the season finale of the third season of a tv show that aired on what network?Fox",My Finale,1.63
"Human Error"" is the season finale of the third season of a tv show that aired on what network?Fox",Desperate Housewives (season 2),1.24
"Human Error"" is the season finale of the third season of a tv show that aired on what network?Fox",List of Republic of Doyle episodes,1.42
"Human Error"" is the season finale of the third season of a tv show that aired on what network?Fox",Human Error (House),3.22
"Human Error"" is the season finale of the third season of a tv show that aired on what network?Fox",The Price of Free and Fair Elections,1.42
"Human Error"" is the season finale of the third season of a tv show that aired on what network?Fox",Robert Chase,0.67
"Human Error"" is the season finale of the third season of a tv show that aired on what network?Fox",The Voice Portugal,0.92
"Human Error"" is the season finale of the third season of a tv show that aired on what network?Fox",House (TV series),0.84
"Human Error"" is the season finale of the third season of a tv show that aired on what network?Fox",Through the Looking Glass (Lost),1.52
"Human Error"" is the season finale of the third season of a tv show that aired on what network?Fox",Mr. Yin Presents...,1.49
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?2017",Last Dance (Dua Lipa song),1.82
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?2017",Dua Lipa,1.67
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?2017",Lost in Your Light,1.53
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?2017",Be the One (Dua Lipa song),1.86
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?2017",Hotter than Hell Tour (Dua Lipa),1.58
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?2017",Blow Your Mind (Mwah),1.95
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?2017",US and Europe Tour,1.57
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?2017",Dua Lipa (album),1.35
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?2017",New Rules (song),1.79
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?2017",Hotter than Hell (Dua Lipa song),1.56
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?Nevada",Kamala Harris,1.55
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?Nevada","Maryland Attorney General election, 2014",1.18
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?Nevada",Corey Palumbo,0.71
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?Nevada",Catherine Cortez Masto,2.11
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?Nevada",Joe Heck,2.18
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?Nevada",List of United States Senators from Nevada,1.72
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?Nevada",Dennis Heck,1.92
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?Nevada",Samuel D. Jackson,0.58
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?Nevada",George Henry Williams,0.58
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?Nevada",Jeff Harris (politician),1.0
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?Hawaii",USA Drug,1.18
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?Hawaii",Perry Drug Stores,1.38
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?Hawaii",Longs Drugs,2.41
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?Hawaii",Thrifty PayLess,1.17
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?Hawaii",Leader Drug Stores,1.45
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?Hawaii",Gray Drug,1.42
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?Hawaii",Hartig Drug,1.4
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?Hawaii",Warren Bryant,1.04
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?Hawaii",Cunningham Drug (U.S.),1.36
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?Hawaii",Rexall,1.29
Which  American politician did Donahue replaced Kelli Ward,Mike Dmitrich,0.66
Which  American politician did Donahue replaced Kelli Ward,Maurice A. Donahue,1.54
Which  American politician did Donahue replaced Kelli Ward,John Hoeven,0.69
Which  American politician did Donahue replaced Kelli Ward,Anne Donahue,1.08
Which  American politician did Donahue replaced Kelli Ward,Sue Donahue,2.28
Which  American politician did Donahue replaced Kelli Ward,Frank J. Donahue,1.6
Which  American politician did Donahue replaced Kelli Ward,Charles Harlow,0.84
Which  American politician did Donahue replaced Kelli Ward,Kelli Ward,1.27
Which  American politician did Donahue replaced Kelli Ward,Dan Donahue,1.27
Which  American politician did Donahue replaced Kelli Ward,Warren Furutani,0.75
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?The Wolfhounds",Nobody's Daughter,1.3
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?The Wolfhounds",Courtney Love filmography,1.08
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?The Wolfhounds",Patty Schemel,1.16
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?The Wolfhounds",Beautiful Son,1.16
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?The Wolfhounds",The Wolfhounds,1.54
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?The Wolfhounds",Live Through This,1.02
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?The Wolfhounds",Turpentine (song),1.43
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?The Wolfhounds",Miss World (song),1.37
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?The Wolfhounds","Softer, Softest",1.11
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?The Wolfhounds",Courtney Love,1.61
How old is the female main protagonist of Catching Fire?16-year-old,Catching Fire,1.0
How old is the female main protagonist of Catching Fire?16-year-old,Oil well fire,0.58
How old is the female main protagonist of Catching Fire?16-year-old,H2O: Footprints in the Sand,0.92
How old is the female main protagonist of Catching Fire?16-year-old,To Heart 2,0.84
How old is the female main protagonist of Catching Fire?16-year-old,The Hunger Games (novel),0.74
How old is the female main protagonist of Catching Fire?16-year-old,Moon (visual novel),0.86
How old is the female main protagonist of Catching Fire?16-year-old,Dōsei,0.69
How old is the female main protagonist of Catching Fire?16-year-old,The Hunger Games: Catching Fire,0.97
How old is the female main protagonist of Catching Fire?16-year-old,"Hello, Good-bye",0.7
Chang Ucchin was born in korea during a time that ended with the conclusion of what? World War II,May 16 coup,0.94
Chang Ucchin was born in korea during a time that ended with the conclusion of what? World War II,Han Myeong-sook,0.98
Chang Ucchin was born in korea during a time that ended with the conclusion of what? World War II,Chang Dae-hwan,0.74
Chang Ucchin was born in korea during a time that ended with the conclusion of what? World War II,Chang Won-jun,0.93
Chang Ucchin was born in korea during a time that ended with the conclusion of what? World War II,Korea under Japanese rule,1.15
Chang Ucchin was born in korea during a time that ended with the conclusion of what? World War II,Tommy Chang (martial artist),1.19
Chang Ucchin was born in korea during a time that ended with the conclusion of what? World War II,United States in the Korean War,0.7
