question,passage_title,sia_score
X.com was an online bank that later became the company that supports what feature?online money transfers,Social Networking and Psychology,1.02
X.com was an online bank that later became the company that supports what feature?online money transfers,Rhythm X,0.31
X.com was an online bank that later became the company that supports what feature?online money transfers,AnyWho.com,1.05
X.com was an online bank that later became the company that supports what feature?online money transfers,X.com,1.69
X.com was an online bank that later became the company that supports what feature?online money transfers,First-e Group,1.32
X.com was an online bank that later became the company that supports what feature?online money transfers,Abbey National,1.14
X.com was an online bank that later became the company that supports what feature?online money transfers,IKB Deutsche Industriebank,1.22
X.com was an online bank that later became the company that supports what feature?online money transfers,PayPal,1.81
X.com was an online bank that later became the company that supports what feature?online money transfers,Webkinz,0.71
The 2004 Philadelphia Eagles season ended with an off-season pickup of the player with what nickname?The Freak,2016 Philadelphia Eagles season,1.5
The 2004 Philadelphia Eagles season ended with an off-season pickup of the player with what nickname?The Freak,2004 Philadelphia Eagles season,1.47
The 2004 Philadelphia Eagles season ended with an off-season pickup of the player with what nickname?The Freak,2006 Philadelphia Eagles season,1.68
The 2004 Philadelphia Eagles season ended with an off-season pickup of the player with what nickname?The Freak,1976 Philadelphia Eagles season,1.49
The 2004 Philadelphia Eagles season ended with an off-season pickup of the player with what nickname?The Freak,1981 Philadelphia Eagles season,1.18
The 2004 Philadelphia Eagles season ended with an off-season pickup of the player with what nickname?The Freak,2011 Philadelphia Eagles season,1.6
The 2004 Philadelphia Eagles season ended with an off-season pickup of the player with what nickname?The Freak,2010 Philadelphia Eagles season,1.26
The 2004 Philadelphia Eagles season ended with an off-season pickup of the player with what nickname?The Freak,2012 Philadelphia Eagles season,1.33
The 2004 Philadelphia Eagles season ended with an off-season pickup of the player with what nickname?The Freak,Jevon Kearse,1.13
The 2004 Philadelphia Eagles season ended with an off-season pickup of the player with what nickname?The Freak,2005 Philadelphia Eagles season,1.71
Castra of Izbășești was made in this province that was the largest territorial and administrative unit of the empire's territorial possessions outside of Italy until what year293 AD,Alexandre de Gusmão,0.37
Castra of Izbășești was made in this province that was the largest territorial and administrative unit of the empire's territorial possessions outside of Italy until what year293 AD,James Alexander Robertson,0.36
Castra of Izbășești was made in this province that was the largest territorial and administrative unit of the empire's territorial possessions outside of Italy until what year293 AD,List of possessions of Norway,1.03
Castra of Izbășești was made in this province that was the largest territorial and administrative unit of the empire's territorial possessions outside of Italy until what year293 AD,Province,1.41
Castra of Izbășești was made in this province that was the largest territorial and administrative unit of the empire's territorial possessions outside of Italy until what year293 AD,Castra of Izbășești,1.65
Castra of Izbășești was made in this province that was the largest territorial and administrative unit of the empire's territorial possessions outside of Italy until what year293 AD,Korochansky Uyezd,0.55
Castra of Izbășești was made in this province that was the largest territorial and administrative unit of the empire's territorial possessions outside of Italy until what year293 AD,Autonomous territorial unit,0.88
Castra of Izbășești was made in this province that was the largest territorial and administrative unit of the empire's territorial possessions outside of Italy until what year293 AD,Bandon (Byzantine Empire),0.97
Castra of Izbășești was made in this province that was the largest territorial and administrative unit of the empire's territorial possessions outside of Italy until what year293 AD,Byzantine Empire under the Justinian dynasty,1.31
Castra of Izbășești was made in this province that was the largest territorial and administrative unit of the empire's territorial possessions outside of Italy until what year293 AD,Roman province,2.15
"Bassist of the band who released Voivod was originally in a band based where? San Rafael, California",Phobos (album),1.1
"Bassist of the band who released Voivod was originally in a band based where? San Rafael, California",The Belleville Outfit,0.94
"Bassist of the band who released Voivod was originally in a band based where? San Rafael, California",Reilly (band),1.0
"Bassist of the band who released Voivod was originally in a band based where? San Rafael, California",Poema Arcanus,1.07
"Bassist of the band who released Voivod was originally in a band based where? San Rafael, California",Sacrifice (band),1.21
"Bassist of the band who released Voivod was originally in a band based where? San Rafael, California",Metallica,1.35
"Bassist of the band who released Voivod was originally in a band based where? San Rafael, California",Newsted,1.31
"Bassist of the band who released Voivod was originally in a band based where? San Rafael, California",Eight Bells (band),1.1
"Bassist of the band who released Voivod was originally in a band based where? San Rafael, California",Black Country Communion,1.11
"Bassist of the band who released Voivod was originally in a band based where? San Rafael, California",Voivod (album),1.28
How many novels has the author of Sheikh's Castaway written?almost 40,Roy C. Booth,0.68
How many novels has the author of Sheikh's Castaway written?almost 40,Sheikh Muhammad Rashid Bilal,0.89
How many novels has the author of Sheikh's Castaway written?almost 40,Zhang Dachun,0.78
How many novels has the author of Sheikh's Castaway written?almost 40,Maureen Wartski,1.0
How many novels has the author of Sheikh's Castaway written?almost 40,Jon Guenther,1.01
How many novels has the author of Sheikh's Castaway written?almost 40,Utopian and dystopian fiction,0.89
How many novels has the author of Sheikh's Castaway written?almost 40,Alexandra Sellers,1.38
How many novels has the author of Sheikh's Castaway written?almost 40,Walter Sorrells,0.85
How many novels has the author of Sheikh's Castaway written?almost 40,Sheikh's Castaway,0.72
How many novels has the author of Sheikh's Castaway written?almost 40,Ottwell Binns,0.98
"In a Front-engine, rear-wheel-drive layout what type of engine is a heat engine where the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit?An internal combustion engine",Combined cycle,1.94
"In a Front-engine, rear-wheel-drive layout what type of engine is a heat engine where the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit?An internal combustion engine",Combustion tap-off cycle,2.46
"In a Front-engine, rear-wheel-drive layout what type of engine is a heat engine where the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit?An internal combustion engine",Diesel engine,2.33
"In a Front-engine, rear-wheel-drive layout what type of engine is a heat engine where the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit?An internal combustion engine","Front-engine, rear-wheel-drive layout",2.63
"In a Front-engine, rear-wheel-drive layout what type of engine is a heat engine where the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit?An internal combustion engine",External combustion engine,2.63
"In a Front-engine, rear-wheel-drive layout what type of engine is a heat engine where the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit?An internal combustion engine",Pressure-fed engine,1.97
"In a Front-engine, rear-wheel-drive layout what type of engine is a heat engine where the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit?An internal combustion engine",Expander cycle,2.2
"In a Front-engine, rear-wheel-drive layout what type of engine is a heat engine where the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit?An internal combustion engine",Stirling engine,2.5
"In a Front-engine, rear-wheel-drive layout what type of engine is a heat engine where the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit?An internal combustion engine",Internal combustion engine,2.12
"In a Front-engine, rear-wheel-drive layout what type of engine is a heat engine where the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit?An internal combustion engine",XLR81,1.27
"What Austrian Formula One Team advisor works with a company headquartered in Fuschl am See, Austria?Helmut Marko",McLaren Technology Group,0.76
"What Austrian Formula One Team advisor works with a company headquartered in Fuschl am See, Austria?Helmut Marko",Midland F1 Racing,0.99
"What Austrian Formula One Team advisor works with a company headquartered in Fuschl am See, Austria?Helmut Marko",Red Bull GmbH,1.06
"What Austrian Formula One Team advisor works with a company headquartered in Fuschl am See, Austria?Helmut Marko",Gustav Brunner,1.14
"What Austrian Formula One Team advisor works with a company headquartered in Fuschl am See, Austria?Helmut Marko",British Formula One Racing Team,0.97
"What Austrian Formula One Team advisor works with a company headquartered in Fuschl am See, Austria?Helmut Marko",Helmut Marko,2.1
"What Austrian Formula One Team advisor works with a company headquartered in Fuschl am See, Austria?Helmut Marko",Wilson Fittipaldi Júnior,1.01
"What Austrian Formula One Team advisor works with a company headquartered in Fuschl am See, Austria?Helmut Marko",Lotus F1,1.04
"What Austrian Formula One Team advisor works with a company headquartered in Fuschl am See, Austria?Helmut Marko",Dave Ryan (motorsport),0.87
"What Austrian Formula One Team advisor works with a company headquartered in Fuschl am See, Austria?Helmut Marko",Renault in Formula One,1.02
Rebecca Akufo-Addo is the current First Lady of Ghana and gets her title by being what relationship to the president?wife,First Lady of Austria,1.06
Rebecca Akufo-Addo is the current First Lady of Ghana and gets her title by being what relationship to the president?wife,First Ladies and Gentlemen of Kyrgyzstan,1.05
Rebecca Akufo-Addo is the current First Lady of Ghana and gets her title by being what relationship to the president?wife,First Lady of Azerbaijan,0.64
Rebecca Akufo-Addo is the current First Lady of Ghana and gets her title by being what relationship to the president?wife,Rebecca Akufo-Addo,3.08
Rebecca Akufo-Addo is the current First Lady of Ghana and gets her title by being what relationship to the president?wife,First Lady of Tijuana,0.97
Rebecca Akufo-Addo is the current First Lady of Ghana and gets her title by being what relationship to the president?wife,First Lady of the United States,1.44
Rebecca Akufo-Addo is the current First Lady of Ghana and gets her title by being what relationship to the president?wife,First Lady of Ghana,3.24
Rebecca Akufo-Addo is the current First Lady of Ghana and gets her title by being what relationship to the president?wife,First Lady of Puerto Rico,0.96
Rebecca Akufo-Addo is the current First Lady of Ghana and gets her title by being what relationship to the president?wife,First Lady of Dubai,1.14
Rebecca Akufo-Addo is the current First Lady of Ghana and gets her title by being what relationship to the president?wife,President of Ghana,1.82
Kübra Kegan was born in the capital of what republic?Turkey,Kübra Kegan,1.18
Kübra Kegan was born in the capital of what republic?Turkey,Joachim N'Dayen,0.32
Kübra Kegan was born in the capital of what republic?Turkey,Ibrahim Zakzaky,0.58
Kübra Kegan was born in the capital of what republic?Turkey,Ankara,1.14
Kübra Kegan was born in the capital of what republic?Turkey,José Santana,0.32
Kübra Kegan was born in the capital of what republic?Turkey,Tomasz Czechowicz,0.36
Kübra Kegan was born in the capital of what republic?Turkey,Jezdimir Vasiljević,0.48
Kübra Kegan was born in the capital of what republic?Turkey,Paulin Pomodimo,0.31
Kübra Kegan was born in the capital of what republic?Turkey,Johan Teterisa,0.51
Kübra Kegan was born in the capital of what republic?Turkey,Brian Tierney,0.5
"Where do the bands KMFDM and Empire of the Sun originate from ? KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German",En Esch,1.51
"Where do the bands KMFDM and Empire of the Sun originate from ? KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German",List of hyperbolic comets,0.33
"Where do the bands KMFDM and Empire of the Sun originate from ? KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German",List of KMFDM concert tours,1.25
"Where do the bands KMFDM and Empire of the Sun originate from ? KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German",Empire of the Sun (band),0.92
"Where do the bands KMFDM and Empire of the Sun originate from ? KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German",Chris Shepard,0.66
"Where do the bands KMFDM and Empire of the Sun originate from ? KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German",Angelspit,1.05
"Where do the bands KMFDM and Empire of the Sun originate from ? KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German",Chant (band),1.11
"Where do the bands KMFDM and Empire of the Sun originate from ? KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German",Sun Devil Marching Band,0.43
"Where do the bands KMFDM and Empire of the Sun originate from ? KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German",Mind:state,1.39
"Where do the bands KMFDM and Empire of the Sun originate from ? KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German",KMFDM,3.42
What is the number one hit released by the rapper also known for his The Streets Made Me album?Slow Motion,How Your Love Makes Me Feel,0.99
What is the number one hit released by the rapper also known for his The Streets Made Me album?Slow Motion,Jim Kerr discography,0.94
What is the number one hit released by the rapper also known for his The Streets Made Me album?Slow Motion,She Ain't Worth It,1.08
What is the number one hit released by the rapper also known for his The Streets Made Me album?Slow Motion,Untasted Honey,0.8
What is the number one hit released by the rapper also known for his The Streets Made Me album?Slow Motion,The Streets Made Me,1.36
What is the number one hit released by the rapper also known for his The Streets Made Me album?Slow Motion,Soulja Slim,2.16
What is the number one hit released by the rapper also known for his The Streets Made Me album?Slow Motion,Sylvain Cossette,0.84
What is the number one hit released by the rapper also known for his The Streets Made Me album?Slow Motion,One of a Kind (G-Dragon song),1.25
What is the number one hit released by the rapper also known for his The Streets Made Me album?Slow Motion,Twisted Black,1.13
What is the number one hit released by the rapper also known for his The Streets Made Me album?Slow Motion,The Tide Is High,0.97
Luzzasco Luzzaschi and Carlo Gesualdo were both composers during which time period?Italian Renaissance,Gesualdo Six,2.19
Luzzasco Luzzaschi and Carlo Gesualdo were both composers during which time period?Italian Renaissance,Simone Verovio,0.89
Luzzasco Luzzaschi and Carlo Gesualdo were both composers during which time period?Italian Renaissance,Carlo Gesualdo,2.45
Luzzasco Luzzaschi and Carlo Gesualdo were both composers during which time period?Italian Renaissance,Girolamo Belli,2.12
Luzzasco Luzzaschi and Carlo Gesualdo were both composers during which time period?Italian Renaissance,Livia d'Arco,1.08
Luzzasco Luzzaschi and Carlo Gesualdo were both composers during which time period?Italian Renaissance,List of Monumentum pro Gesualdo casts,1.34
Luzzasco Luzzaschi and Carlo Gesualdo were both composers during which time period?Italian Renaissance,Il Perdono di Gesualdo,1.4
Luzzasco Luzzaschi and Carlo Gesualdo were both composers during which time period?Italian Renaissance,Girolamo Frescobaldi,1.8
Luzzasco Luzzaschi and Carlo Gesualdo were both composers during which time period?Italian Renaissance,Luzzasco Luzzaschi,2.1
Luzzasco Luzzaschi and Carlo Gesualdo were both composers during which time period?Italian Renaissance,Gesualdo: Death for Five Voices,0.98
"In 2015, Baker Mayfield won the Oklahoma starting quarterback position over which future Atlanta Falcons quarterback?Trevor Knight",Michael Vick,1.44
"In 2015, Baker Mayfield won the Oklahoma starting quarterback position over which future Atlanta Falcons quarterback?Trevor Knight",Kiehl Frazier,1.11
"In 2015, Baker Mayfield won the Oklahoma starting quarterback position over which future Atlanta Falcons quarterback?Trevor Knight",Estel Tessmer,0.74
"In 2015, Baker Mayfield won the Oklahoma starting quarterback position over which future Atlanta Falcons quarterback?Trevor Knight",Trevor Knight,1.87
"In 2015, Baker Mayfield won the Oklahoma starting quarterback position over which future Atlanta Falcons quarterback?Trevor Knight",Shawn McCarthy,1.02
"In 2015, Baker Mayfield won the Oklahoma starting quarterback position over which future Atlanta Falcons quarterback?Trevor Knight",Seth Doege,1.07
"In 2015, Baker Mayfield won the Oklahoma starting quarterback position over which future Atlanta Falcons quarterback?Trevor Knight",Tyrod Taylor,1.04
"In 2015, Baker Mayfield won the Oklahoma starting quarterback position over which future Atlanta Falcons quarterback?Trevor Knight",Baker Mayfield,2.12
"In 2015, Baker Mayfield won the Oklahoma starting quarterback position over which future Atlanta Falcons quarterback?Trevor Knight",1993 Cleveland Browns season,1.08
"In 2015, Baker Mayfield won the Oklahoma starting quarterback position over which future Atlanta Falcons quarterback?Trevor Knight",2015 Buffalo Bills season,0.83
"Who was born first, Winston Churchill or Edith Hamilton?Edith Hamilton",Edith Hamilton,1.19
"Who was born first, Winston Churchill or Edith Hamilton?Edith Hamilton",Montagu Porch,1.07
"Who was born first, Winston Churchill or Edith Hamilton?Edith Hamilton",Winston Churchill,0.96
"Who was born first, Winston Churchill or Edith Hamilton?Edith Hamilton",Bust of Winston Churchill (Epstein),0.98
"Who was born first, Winston Churchill or Edith Hamilton?Edith Hamilton",Winston Churchill (Cavalier),1.3
"Who was born first, Winston Churchill or Edith Hamilton?Edith Hamilton",Winston Churchill Collegiate Institute,0.86
"Who was born first, Winston Churchill or Edith Hamilton?Edith Hamilton",Pamela Harriman,1.59
"Who was born first, Winston Churchill or Edith Hamilton?Edith Hamilton",Winston Churchill (1940–2010),1.57
"Who was born first, Winston Churchill or Edith Hamilton?Edith Hamilton",Westminster College (Missouri),0.68
"Who was born first, Winston Churchill or Edith Hamilton?Edith Hamilton",National Churchill Museum,0.76
What type of group does Umphrey's McGee and Iron Maiden have in common?band,Virus (Iron Maiden song),1.21
What type of group does Umphrey's McGee and Iron Maiden have in common?band,List of Iron Maiden concert tours,1.46
What type of group does Umphrey's McGee and Iron Maiden have in common?band,Anton Gustafsson tolkar Iron Maiden,1.07
What type of group does Umphrey's McGee and Iron Maiden have in common?band,Bruce Dickinson discography,0.91
What type of group does Umphrey's McGee and Iron Maiden have in common?band,World's Only Female Tribute to Iron Maiden,1.58
What type of group does Umphrey's McGee and Iron Maiden have in common?band,Iron Maiden (album),1.06
What type of group does Umphrey's McGee and Iron Maiden have in common?band,Eddie's Head,1.45
What type of group does Umphrey's McGee and Iron Maiden have in common?band,Iron Maiden,1.47
What type of group does Umphrey's McGee and Iron Maiden have in common?band,List of songs recorded by Iron Maiden,1.21
What type of group does Umphrey's McGee and Iron Maiden have in common?band,Umphrey's McGee,1.6
What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?Emil Vojnović von Belobreska,Emil Vojnović,1.57
What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?Emil Vojnović von Belobreska,Varaždin Generalate,1.58
What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?Emil Vojnović von Belobreska,Karl von Habsburg,0.92
What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?Emil Vojnović von Belobreska,Slavonian Military Frontier,1.54
What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?Emil Vojnović von Belobreska,Economy of the Habsburg Monarchy,0.98
What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?Emil Vojnović von Belobreska,Haramija,1.06
What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?Emil Vojnović von Belobreska,Karl Paul von Quosdanovich,1.16
What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?Emil Vojnović von Belobreska,Austria-Hungary,1.37
What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?Emil Vojnović von Belobreska,Habsburg Monarchy,1.43
What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?Emil Vojnović von Belobreska,Military Frontier,1.84
"John Edward Avery, Jr. played for what team that only played one season in 2001XFL","Dennis Byrd (American football, born 1946)",0.88
"John Edward Avery, Jr. played for what team that only played one season in 2001XFL",John Avery (gridiron football),1.51
"John Edward Avery, Jr. played for what team that only played one season in 2001XFL",Ed Salem,0.79
"John Edward Avery, Jr. played for what team that only played one season in 2001XFL",Pete Rose Jr.,0.66
"John Edward Avery, Jr. played for what team that only played one season in 2001XFL",Bernie Graham,0.53
"John Edward Avery, Jr. played for what team that only played one season in 2001XFL",John Fuller (baseball),0.56
"John Edward Avery, Jr. played for what team that only played one season in 2001XFL",John Burton (New Zealand cricketer),0.2
"John Edward Avery, Jr. played for what team that only played one season in 2001XFL",John Naylor (cricketer),0.19
"John Edward Avery, Jr. played for what team that only played one season in 2001XFL",Gary Keedy,0.32
"John Edward Avery, Jr. played for what team that only played one season in 2001XFL",XFL,1.25
In what year was Yuk Young-soo's husband born?1917,List of EastEnders characters (2015),0.18
In what year was Yuk Young-soo's husband born?1917,Elizabeth Tolbert,0.35
In what year was Yuk Young-soo's husband born?1917,Yuk Young-soo,0.57
In what year was Yuk Young-soo's husband born?1917,First Lady of South Korea,0.73
In what year was Yuk Young-soo's husband born?1917,Xin Huguang,1.02
In what year was Yuk Young-soo's husband born?1917,Mun Se-gwang,0.62
In what year was Yuk Young-soo's husband born?1917,Kate Kelly (sculptor),0.84
In what year was Yuk Young-soo's husband born?1917,Jashumatiben Korat,0.36
In what year was Yuk Young-soo's husband born?1917,Park Chung-hee,0.46
Of which West Germanic language was Craig Seymour a professor at the University of Massachusetts Dartmouth?English,University of Massachusetts Dartmouth,0.98
Of which West Germanic language was Craig Seymour a professor at the University of Massachusetts Dartmouth?English,Dutch language,1.2
Of which West Germanic language was Craig Seymour a professor at the University of Massachusetts Dartmouth?English,Craig Seymour,1.61
Of which West Germanic language was Craig Seymour a professor at the University of Massachusetts Dartmouth?English,History of English,1.11
Of which West Germanic language was Craig Seymour a professor at the University of Massachusetts Dartmouth?English,German language,1.36
Of which West Germanic language was Craig Seymour a professor at the University of Massachusetts Dartmouth?English,Afrikaans,1.12
Of which West Germanic language was Craig Seymour a professor at the University of Massachusetts Dartmouth?English,Old Saxon,1.47
Of which West Germanic language was Craig Seymour a professor at the University of Massachusetts Dartmouth?English,Syldavian,1.38
Of which West Germanic language was Craig Seymour a professor at the University of Massachusetts Dartmouth?English,English language,1.75
Of which West Germanic language was Craig Seymour a professor at the University of Massachusetts Dartmouth?English,Northwest Germanic,1.53
"when did the Tower Of Terror lose its status as the fastest roller coaster in the world?On opening, it claimed the records of fastest roller coaster in the world, previously shared by and Tower of Terror.",Leviathan (roller coaster),2.17
"when did the Tower Of Terror lose its status as the fastest roller coaster in the world?On opening, it claimed the records of fastest roller coaster in the world, previously shared by and Tower of Terror.",Magnum XL-200,1.97
"when did the Tower Of Terror lose its status as the fastest roller coaster in the world?On opening, it claimed the records of fastest roller coaster in the world, previously shared by and Tower of Terror.",Corkscrew (Valleyfair),1.9
"when did the Tower Of Terror lose its status as the fastest roller coaster in the world?On opening, it claimed the records of fastest roller coaster in the world, previously shared by and Tower of Terror.",Fujiyama (roller coaster),2.19
"when did the Tower Of Terror lose its status as the fastest roller coaster in the world?On opening, it claimed the records of fastest roller coaster in the world, previously shared by and Tower of Terror.",Cyclone (Revere Beach),2.59
"when did the Tower Of Terror lose its status as the fastest roller coaster in the world?On opening, it claimed the records of fastest roller coaster in the world, previously shared by and Tower of Terror.",Tower of Terror II,2.41
"when did the Tower Of Terror lose its status as the fastest roller coaster in the world?On opening, it claimed the records of fastest roller coaster in the world, previously shared by and Tower of Terror.",Roller coaster phobia,2.03
"when did the Tower Of Terror lose its status as the fastest roller coaster in the world?On opening, it claimed the records of fastest roller coaster in the world, previously shared by and Tower of Terror.",Kingda Ka,1.75
"when did the Tower Of Terror lose its status as the fastest roller coaster in the world?On opening, it claimed the records of fastest roller coaster in the world, previously shared by and Tower of Terror.",Do-Dodonpa,1.78
"when did the Tower Of Terror lose its status as the fastest roller coaster in the world?On opening, it claimed the records of fastest roller coaster in the world, previously shared by and Tower of Terror.",Goliath (La Ronde),1.54
"Which group features more members who play an instrument, Moonbabies or Massive Attack?Moonbabies",The Space Between Us (album),0.66
"Which group features more members who play an instrument, Moonbabies or Massive Attack?Moonbabies",Unfinished Sympathy,1.0
"Which group features more members who play an instrument, Moonbabies or Massive Attack?Moonbabies",Craig Pruess,0.9
"Which group features more members who play an instrument, Moonbabies or Massive Attack?Moonbabies",Massive Attack,0.67
"Which group features more members who play an instrument, Moonbabies or Massive Attack?Moonbabies",Massive Attack (song),0.72
"Which group features more members who play an instrument, Moonbabies or Massive Attack?Moonbabies",Massive Attack discography,1.5
"Which group features more members who play an instrument, Moonbabies or Massive Attack?Moonbabies",Four Walls / Paradise Circus,0.93
"Which group features more members who play an instrument, Moonbabies or Massive Attack?Moonbabies",Protection (Massive Attack song),0.72
"Which group features more members who play an instrument, Moonbabies or Massive Attack?Moonbabies",Moonbabies (band),1.11
"Which group features more members who play an instrument, Moonbabies or Massive Attack?Moonbabies",Slo Light,0.98
Did both Battle of Chancellorsville and Battle of Pusan Perimeter take place on the same continent?no,Battle of Taegu,1.68
Did both Battle of Chancellorsville and Battle of Pusan Perimeter take place on the same continent?no,Battle of Masan,1.66
Did both Battle of Chancellorsville and Battle of Pusan Perimeter take place on the same continent?no,Battle of Pusan Perimeter,1.47
Did both Battle of Chancellorsville and Battle of Pusan Perimeter take place on the same continent?no,Battle of P'ohang-dong,1.69
Did both Battle of Chancellorsville and Battle of Pusan Perimeter take place on the same continent?no,Battle of the Bowling Alley,1.42
Did both Battle of Chancellorsville and Battle of Pusan Perimeter take place on the same continent?no,15th Division (North Korea),1.4
Did both Battle of Chancellorsville and Battle of Pusan Perimeter take place on the same continent?no,Battle of Pusan Perimeter logistics,1.49
Did both Battle of Chancellorsville and Battle of Pusan Perimeter take place on the same continent?no,First Battle of Naktong Bulge,1.67
Did both Battle of Chancellorsville and Battle of Pusan Perimeter take place on the same continent?no,Battle of Chancellorsville,1.55
Did both Battle of Chancellorsville and Battle of Pusan Perimeter take place on the same continent?no,Battle of Battle Mountain,1.64
Are University of Virginia and King Mongkut's University of Technology Thonburi both institutions of higher learning?yes,Darunsikkhalai School for Innovative Learning,1.33
Are University of Virginia and King Mongkut's University of Technology Thonburi both institutions of higher learning?yes,Deksil,1.2
Are University of Virginia and King Mongkut's University of Technology Thonburi both institutions of higher learning?yes,Mahanakorn University of Technology,1.37
Are University of Virginia and King Mongkut's University of Technology Thonburi both institutions of higher learning?yes,University of Virginia,1.36
Are University of Virginia and King Mongkut's University of Technology Thonburi both institutions of higher learning?yes,Svasti Sobhana,1.01
Are University of Virginia and King Mongkut's University of Technology Thonburi both institutions of higher learning?yes,Thonburi University,1.55
Are University of Virginia and King Mongkut's University of Technology Thonburi both institutions of higher learning?yes,Romney Academy,0.82
Are University of Virginia and King Mongkut's University of Technology Thonburi both institutions of higher learning?yes,"School of Information Technology, King Mongkut's University of Technology Thonburi",3.07
