question,sentence,sia_score
Animals rely on what for survival?,Animals rely on plants for survival.,4.0
What is essential to all living organisms?,the atmosphere is essential to all living organisms,4.0
What type of energy generated by the bulbs is wasted?,The heat energy generated by the bulbs gets wasted.,4.0
Cells are the basic units allowing what in all living things,Cells are the basic units of Respiration in all living things,4.0
What helps a fire continue to burn?,Fanning a fire helps it continue to burn.,4.0
If the state of the atmosphere is what then there is a greater chance of rain?,If the state of the atmosphere is stormy then there is a greater chance of rain,4.0
What provides food for terrestrial biomes?,plants provide food for terrestrial biomes,4.0
What can be found when an animal uses their sense of olfication?,Olfaction is used for finding food by some animals.,4.0
What can plants tolerate?,plants can tolerate a less water,4.0
What do monkeys use eyes for?,Monkeys use eyes to sense light.,4.0
What clusters around the heat of submarine volcanoes?,Organisms cluster around the heat of submarine volcanoes.,4.0
What happens when Earthworms ingest sediment and extract food particles?,Earthworms ingest sediment and extract food particles which enriches soil,4.0
"To reproduce, mammals attract a mate through what?","To reproduce, mammals attract a partner through smell. ",4.0
what are sponges?,sponges are hermaphrodites,4.0
Phylum Platyhelminthes are mostly what?,Phylum Platyhelminthes are mostly parasitic.,4.0
What are some of the steps that forms a lake?,A lake is formed by the water cycle.,4.0
What are used for sensing sound in animals?,functioning ears are used for sensing sound by animals,4.0
If _ of an animal are found in a place then that animal used to live in that place,if preserved remains of an animal  are found in a place then that animal used to live in that place,4.0
stratosphere composition causes higher levels of what reaching Earth,stratosphere composition causes higher levels of UV radiation reaching Earth,4.0
what reduces greenhouse effect?,some electricity production reduces greenhouse effect,4.0
What survives in a dry environment?,camels survive in a dry environment,4.0
What do earthworms help grow?,earthworms help plants grow,4.0
A rubber band snapping can cause the particles to do what?,a rubber band snapping causes the particles to make sound,4.0
What can cause the body to stop functioning?,Overheating can cause the body to stop functioning.,4.0
Applying the car brakes generates,Slowing the car by applying the brakes generates,4.0
What has a positive impact on human's health?,muscle has a positive impact on human's health,4.0
what do animals use to store food?,animals use fat to store energy,4.0
what feeds are more than one trophic level?,many humans feed at more than one trophic level,4.0
what are not cells?,Herpes are not cells,4.0
Vaccines that offer protection from cervical cancer target,A vaccine against a virus can protect against cervical cancer,4.0
What is the process of breaking down food proteins into energy or heat?,Digestion is the process of breaking down food proteins into energy or heat.,4.0
How do you calculate water?,You can find the volume of water by using a graduated cylinder,4.0
What generally don't have to deal with extremes of temperature or moisture?,Most fish do not have to deal with extremes of temperature or moisture.,4.0
What has a positive impact on plants?,animals have positive impacts on plants,4.0
what is used to make an animal realize that it needs to replenish from a natural drinkable source,thirst is used to make an animal realize that it needs to replenish from a natural drinkable  source,4.0
What forms petroleum over time?,petroleum is formed from dead organisms over time,4.0
The city bus is used for moving what?,The city bus is used for moving people.,4.0
What can infection cause?,infection can cause joint pain,4.0
What do cells have multiple repair mechanisms to repair?,Cells have multiple repair mechanisms to fix damage to DNA,4.0
"What is still provided, whether the style is long or a mullet?","Whether worn long or as a mullet, there is still insulation and protection provided.",4.0
What can oil spills cause?,Oil spills cause animal populations to decrease.,4.0
An allergen is a type of,Proteins foreign to the body that cause allergies are called allergens.,4.0
what are used for travel?,motorcycles are used for travel,4.0
igneous intrusion causes vein deposits of what?,vein deposits of precious metals are formed by igneous intrusion,4.0
What happens when light hits water?,Rainbows are formed when water refracts light,4.0
What is one type of abnormal cell division?,Abnormal cell division can cause tumors.,4.0
Mammals are,Mammals are Heterotrophs,4.0
Some crustaceans feed on,Some crustaceans feed on phytoplankton.,4.0
What is used to preserve food?,Something from Nesco is used for preserving food,4.0
what does an electric circuit need to work properly,when an electrical circuit has a path it can work properly,4.0
What increases biodiversity?,Sexual reproduction increases biodiversity.,4.0
what produces nutritious fluid?,cows produce nutritious fluid,4.0
what might infection or injury of the lungs cause?,fluid build up in the lung tissue may be caused by infection or injury of the lungs,4.0
Howling is used by members of the species Canis Lupus to warn who?,Howling is used by members of the species Canis Lupus to warn other members.,4.0
What can aid most animals in survival?,fur can aid most animals in survival,4.0
What do insects sense with their antennae?,Insects use their antennae to find food.,4.0
How can viruses make copies of themselves?,Viruses cannot make copies of themselves alone. They need to attach themselves to cells.,4.0
What does slowing the growth of bacteria do for a food?,Slowing the growth of bacteria keeps food fresh,4.0
What can cause rocks to break down?,Water can break down rocks,4.0
What decreases manual dexterity?,smoking tobacco decreases manual dexterity,4.0
what are are chemical elements that are essential for body processes,salts are are chemical elements that are essential for body processes,4.0
What can be used to separate a solute from a solvent in a solution?,heat can be used to separate a solute from a solvent in a solution,4.0
What increases the productivity and stability of the entire global system?,Biodiversity increases the productivity and stability of the entire global system.,4.0
what protects the body from harmful substances?,the epidermis and dermis protects the body from harmful substances,4.0
What can our ears detect?,matter vibrating can cause our ears to detect it,4.0
Earth 's tilt on its rotating axis causes changes in what,Earth 's tilt on its rotating axis causes changes in weather,4.0
What can have a positive impact on the environment?,Paper bags have a positive impact on the environment.,4.0
What can a seismograph prevent?,a seismograph can prevent damage,4.0
"For biological catalysts to maintain proper pH, what is needed to maintain proper pH?","For biological catalysts to be able to work, cells secrete acids and bases to maintain proper pH",4.0
Adult frogs have what and breathe with gills as larvae?,Adult frogs have teeth and breathe with gills as larvae,4.0
What is produced less depending on the amount of darkness a plant receives?,Darkness has a negative impact on the amount of carbohydrates formed in a plant.,4.0
What can hurt plant populations?,Pesticides can hurt plant populations.,4.0
Which is immobile?,Adult sponges are immobile.,4.0
Where do all adult echinoderms live?,All adult echinoderms live in water.,4.0
"When gas is heated, it takes up more:","When gas is heated, it takes up more space.",4.0
a measuring cup is used for measuring the what?,a measuring cup is used for measuring the density of a substance,4.0
Vessels carry deoxygenated what?,Vessels carry deoxygenated blood,4.0
What type of acid contains inherited instructions for proteins?,DNA contains inherited instructions for proteins.,4.0
Where does the chickenpox virus go?,"After being effected by chickenpox, the virus becomes dormant. ",4.0
What can bring amino acids in the correct sequence?,Gene sequences can bring amino acids in the correct sequence,4.0
Eating usually has what impact on an organism?,Eating has a positive impact on an organism 's health,4.0
what is saturated fat at room temperature?,saturated fat is solid at room temperature,4.0
What does the movement of air mass over the world's surface cause?,the movement of an air mass over the world's surface causes local weather changes,4.0
animals that begin their lives in what breathe with gills then move elsewhere breathe with lungs,animals that begin their lives in water breathe with gills then move elsewhere breathe with lungs,4.0
What can infect and destroy helper T cells?,antibodies can infect and destroy helper T cells,4.0
When will a hurricane lose its strength?,"When hurricanes move over continents, their strength decreases.",4.0
sheep have what fur to keep warm,sheep have wooly fur to keep warm,4.0
What becomes fat if not immediately used by the body for energy?,if food is not immediately used by the body for energy then it becomes fat,4.0
Being exposed to wind can cause what?,Being exposed to wind can cause desertification.,4.0
What kind of feet do echinoids have?,echinoids have tube feet,4.0
What tends to occur when individuals move in and out of a population?,a decrease in differentiation tends to occur when individuals move in and out of a population,4.0
What do tectonic plates being pushed together do?,tectonic plates being pushed together destroy bridges,4.0
Nuclear reactions in space provide the Earth with,Nuclear reactions provide the Earth with light.,4.0
What are lizards able to use their tongues to do?,Lizards are able to use their tongues to taste.,4.0
What are used for seeing in the absence of light?,a light bulb is used for seeing in the absence of light,4.0
What are factors in the creation of formations in the desert?,Wind and erosion create formations in the desert.,4.0
What does a plant require for survival?,a plant requires nutrients for survival,4.0
many corals secrete an exoskeleton that builds up to become what?,many corals secrete an exoskeleton that builds up to become the jungles of the sea,4.0
Which of the following does not have an anterior and posterior end?,Adult echinoderms lack an anterior and posterior end.,4.0
Lakes are generally bigger and deeper than the birth home of what animal?,Lakes are generally bigger and deeper than where frogs start out life,4.0
Many believe the cause of smallpox to be what?,The cause of smallpox is usually thought to be nonliving,4.0
Organs of waste do what to the waste system?,Organs of waste make up the waste system,4.0
what has a negative impact on the environment?,underground garbage has a negative impact on the environment,4.0
The first tetrapods were,Animals in the frog family are the first true tetrapods.,4.0
what typically travel long distances?,manatees typically travel long distances,4.0
what have a circulatory system?,mussels have a circulatory system,4.0
What can better dissolve nutrients and oxygen?,Rivers can better dissolve oxygen and nutrients than lakes.,4.0
what can fish not make?,fish cannot make their own food,4.0
What does bamboo do to grow?,bamboo require photosynthesis to grow,4.0
Sea creatures encased by what reproduce sexually?,Sea creatures encased by tough membranes reproduce sexually,4.0
What can being near the sun do to an object?,being near the sun can cause an object to combust,4.0
Where does lengthening and widening occur in plant roots?,"Without meristems, roots couldn't lengthen or widen.",4.0
What can convert fossil fuels into motion?,lawn mowers can convert fossil fuels into motion,4.0
"When an item is made of a material, what does it have of that material?",when an item is made of a material then it has the properties of that material.,4.0
what do single-celled organisms have?,single-celled organisms have motility,4.0
What protects lizards?,Lizards are protected by their unique body.,4.0
What is a possible negative effect of exposing soil to wind,Exposure of soil to wind can cause crop yields to decrease,4.0
What enables the body to grow?,the digestive system enable our body to grow,4.0
"When cells start to divide uncontrollablly, they may form a what?",Cells that divide uncontrollably may form a fibroid.,4.0
What contains DNA but not much else?,smallpox contains DNA but not much else,4.0
What kind of bodies do earthworms have?,Earthworms have segmented bodies.,4.0
"Where, on the periodic table, is the element type that is less common?",The periodic table has far fewer of the elements listed in the right hand corner.,4.0
which kind of biomes usually have low salinity?,Freshwater biomes have very low salinity.,4.0
What can find the location of an object?,Dolphins can find the location of an object.,4.0
what do landslides do to land?,rain causes landslides that produces severe land loss.,4.0
"What are hosted, but don't usually kill their host?",most tapeworms do not kill their host,4.0
What is used for refracting energy?,A prism is used for refracting energy.,4.0
what gets deeper and wide from erosion?,erosion causes the Thames to become deeper and wider,4.0
What can cause something to have a change of state?,Heat can cause something to have a change of state.,4.0
what can cause the ph of soil to decrease?,incinerated mercury can cause the ph of soil to decrease,4.0
The thing that cools the body contains what?,Something containing urea cools the body,4.0
what is found in proteins?,"a colorless, odorless gas is found in proteins",4.0
What do sporangia produce,sporangia produce haploid cells,4.0
What were the earliest vertebrates who has relatives today?,The earliest vertebrates were jawless fish,4.0
What is used as an energy source by television?,electricity is used as an energy source by television,4.0
Mammals can generate heat by,Mammals can generate heat  by Aerobic exercise,4.0
What two things does grass require?,Grass needs air and sunlight,4.0
The most primitive multi-cellular animals produce what?,The most primitive multi-cellular animals produce eggs and sperm.,4.0
What infects and destroys the brains behind immune response?,HIV infects and destroys the brains behind immune response,4.0
How many stages does the process that produces gametes have?,A two stage process is the type of cell division that produces gametes,4.0
What are important biomes?,"Marshes, bogs and swamps are very important biomes.",4.0
What convert electricity into light and heat energy?,LEDs convert electricity into light and heat energy,4.0
What comes from non-renewable resources?,the resources that plastic bags come from are nonrenewable,4.0
What can cause a chromatic dispersion?,Sunlight and rain can cause a chromatic dispersion.,4.0
what consists of organic molecules that stores energy in its chemical bonds?,steak consists of organic molecules that stores energy in its chemical bonds,4.0
What adapts to the temperatures of the Arctic?,reindeer adapt to the Arctic's temperatures,4.0
Coral reefs provide what to many living beings in the ocean,Coral reefs provide food and shelter to many ocean living beings.,4.0
some birds are pollinators that co-evolved with what?,some birds are pollinators that co-evolved with bushes,4.0
Where do corals form large colonies?,Corals form large colonies at the shoreline.,4.0
What body fluid does dialysis clean?,Dialysis may be necessary to filter blood,4.0
What may increase when a plant grows?,"when a plant grows , photosynthesis may increase",4.0
Where do most fungi get their protein?,Most fungi get proteins from dead organisms.,4.0
what can change shape from smooth into compaction by physical force?,an apple can change shape from smooth into compacted by physical force,4.0
What heats frog eggs so that they may hatch into tadpoles?,Heat from the sun helps frog eggs survive and hatch into tadpoles,4.0
Basal bodies function as organelles involved in what?,Basal bodies function as organelles involved in cell division,4.0
Pesticides can cause what to be destroyed?,Pesticides can cause entire ecosystems to be destroyed.,4.0
What are formed by precipitation?,precipitation forms caverns,4.0
What are viruses not?,Viruses are not prokaryotes.,4.0
what can cause harm to humans?,gardening and painting supplies can cause harm to humans,4.0
what can flood if it receives more water than it can hold?,"when a river receives more water than it can hold, a flood occurs",4.0
A reef is made of,calcium carbonate becomes a  reef.,4.0
What can magnets be used to do?,magnets can be used to determine direction,4.0
dendrochronologists do what with regards to tree age?,Estimating the age of trees is done by Dendrochronologists.,4.0
What causes growth sometimes?,mitosis often causes growth,4.0
What happens to the electrical conductivity of wood after it is made wet by precipitation?,The electrical conductivity of wood increases after precipitation falls on it,4.0
some what live on the surface of their computer?,some parasites live on the surface of their computer.,4.0
What happens when liquids are heated?,Gas bubbles burst when liquids are heated.,4.0
What do the building blocks of DNA bind together to form?,The building blocks of DNA bind together to form a chain called a polynucleotide.,4.0
What does a plant require for its growth?,A plant requires carbon dioxide for growth,4.0
What are molecules that the immune system recognizes as foreign to the physical entity?,Antigens are molecules that the immune system recognizes as foreign to the physical entity.,4.0
What will cause metal to turn orange?,oxygen and water will cause metal to turn orange,4.0
what is blamed for temperature increases?,C02 is blamed for temperature increases,4.0
What species of female mammal lacks a uterus and vagina?,Platypus and echidna lack a uterus and vagina.,4.0
Smaller rocks come from the interaction of bedrock with what over long periods of time,Smaller rocks come from the interaction of bedrock with wind over long periods of time,4.0
What is most likely to be eaten by a mole?,Moles eat some Annelids,4.0
"Viruses first infect, then they release into the host by doing what?",Infection by viruses leads to lysing and release.,4.0
What have explorers traditionally used to orient themselves?,Knowledge of the stars can be used to orient explorers,4.0
How many sections does a fish heart have?,mammal hearts have two more sections than fish hearts.,4.0
A fire requires a by-product of what?,a fire requires a by-product of photosynthesis.,4.0
What do substances in the pituitary control?,Substances in the pituitary control the endocrine glands.,4.0
What causes a gas to condense?,gas condenses when heat is reduced,4.0
What occurs when many muscles contract a little bit all at once?,The production of heat occurs when many muscles contract a little bit all at once,4.0
what occurs when cells walls relax?,aneurisms occur when cells walls relax,4.0
What object can be used to create a rainbow?,A rainbow is formed by passing light through a prism.,4.0
The age of a fossil can sometimes be determined by what method?,carbon 14 dating is one of the best known methods to determine the age of fossils,4.0
what lives in water?,adult echinoderms live in water,4.0
"What in DNA, carried by genes, have instructions?","Proteins in DNA, carried by genes, have instructions",4.0
What can yeast and mold decompose?,Yeast and molds can decompose wood,4.0
Freezing causes what to form?,Freezing causes ice to form,4.0
You cannot have matter in a plasma state without what?,A plasma state requires ionization in a gas,4.0
What do mammals use to conserve heat?,haircoats conserve heat in mammals,4.0
What moving downhill due to the force of gravity can dissolve carbon in sedimentary rock?,Water moving downhill due to the force of gravity can dissolve carbon in sedimentary rock,4.0
what is a scale used for measuring?,a scale is used for measuring pounds,4.0
what requires energy for growth?,plants require energy for growth,4.0
What have similar membranes?,viruses have similar membranes,4.0
The most advantageous type of reproduction can be chosen when generational what is used?,Alternation of generations allows for using the most advantageous type of reproduction.,4.0
If fossils of a fish are found in a place then that place used to be covered by what in the past.,If fossils of a fish are found in a place then that place used to be covered by water in the past.,4.0
What will make an increase in the sea level?,Heat will ultimately cause the sea level to rise.,4.0
What do better senses have an impact on?,better senses have a positive impact on an animal's ability to live.,4.0
What are reptiles called as?,Reptiles are called amniotes,4.0
What are forms mountains?,mountains are formed by moving plates,4.0
What is required by a plant for surival?,A plant requires leaves for survival,4.0
"How do fine, dusty particles in the atmosphere  erupted from volcanoes lower the temperature?","Fine, dusty particles erupted from volcanos decrease the temperature by blocking the sun",4.0
timing is critical for what occurs when a what and an egg fuse?,timing is critical for what occurs when a sperm and an egg fuse,4.0
what can you use to generate power to reduce greenhouse gases?,Using wind to generate power reduces greenhouse gases,4.0
If dangerous gas escapes from an open container is it possible the workplace could be contaminated?,"When dangerous gas from an open container evaporates, it can contaminate a workplace.",4.0
Using cell phones can cause people to become what?,Using cell phones can cause people to become dangerous.,4.0
What is used for refracting light?,A solid geometric shape is used for refracting light.,4.0
what falls from lower to higher altitudes?,degrees celcius falls from lower to higher altitudes,4.0
What is broken down from larger to smaller pieces by weather in weathering?,Breaking down basalt from larger into smaller pieces by weather is weathering,4.0
What can cause Mad Cow?,pathogens can cause Mad Cow,4.0
what does water vapor condensing in clouds cause?,water vapor condensing in clouds causes liquid precipitation?,4.0
Flowers produce spores that develop into what?,Flowers produce spores that develop into seed plants,4.0
What helps pollinates plants?,Birds are pollinators,4.0
what does threatening behavior cause in animals?,threatening behavior causes stress in animals,4.0
what have specialized reproductive organs,bushes have specialized reproductive organs,4.0
electrical current running through a wire can cause a what,electrical current running through a wire can cause a fire hazard,4.0
what influences plants in aquatic environments,Climate influences plants in aquatic environments,4.0
What can threatening behavior cause?,threatening behavior can cause injury,4.0
What type of motion do living things use?,Living things all use kinetic motion.,4.0
Conserving energy has a positive effect on what?,Conserving energy has a positive impact on an animal's survival,4.0
What grows into the soil to absorb water and minerals?,Most carrots grow  down into the soil to absorb water and minerals.,4.0
what is used in light bulbs?,energy is used in a light bulb,4.0
What do viruses contain?,viruses contain encoded information but not much else,4.0
What prevents injury by forming protective plates over the ends of the fingers?,keratin prevents injury by forming protective plates over the ends of the fingers.,4.0
What can change shape from smooth into compacted by physical force?,paper can change shape from smooth into compacted by physical force,4.0
Viruses often infect something killed by what?,Viruses often infect something killed by antibiotics,4.0
what changes sex cells?,a mutation can be caused by recombination,4.0
what are not cells?,the smallest agents of disease are not cells,4.0
What trait is inherited?,intelligence is an inherited trait,4.0
Most mammals have a body what for keeping warm?,Most mammals have a body covering for keeping warm,4.0
_ are needed to maintain energy levels,Arteries are needed to maintain energy levels,4.0
What does the substance that male dogs have in urine to mark their territory do?,Male dogs use something that attracts females in urine to mark their territory.,4.0
How do electric stoves boil water?,electric stoves boil water,4.0
Where do dogs store energy?,Dogs use saturated fatty acids to store energy.,4.0
What reduces the amount of bacteria in milk?,heating milk reduces the amount of bacteria,4.0
a toxin is used for defense by what?,a toxin is used for defense by sea anemones,4.0
what have beaks that are generally adapted for the food they eat?,hawk beaks are generally adapted for the food they eat,4.0
What eats by trapping and filtering out food as water passes by?,Sponges trap and filter out food as water passes by,4.0
What crawls and is known to have a complex nervous system?,Insects have a more complex nervous system.,4.0
What occurs when gametes fuse to form a diploid zygote?,Fertilization occurs when gametes fuse to form a diploid zygote.,4.0
What do mutations do to DNA?,Mutations change DNA.,4.0
Which of the following can explain the evolutionary part of organism's environment?,Phylogeny may explain the evolutionary part of organism's environment.,4.0
What do nephrons filter?,Nephrons filter blood.,4.0
what has a negative impact?,waste has a negative impact,4.0
How does a squid produce?,Squids produce sexually.,4.0
Wetlands are extremely important,Wetlands are extremely important global ecosystems.,4.0
what may lead to aggressive behaviors?,sports may lead to aggressive behaviors,4.0
What is it called when light allows an image to be focused on the retina?,Sight is the ability to see when light allows an image to be focused on the retina,4.0
what can be found in moist soil near rivers and streams in tropical regions?,primitive amphibians can be found in moist soil near rivers and streams in tropical regions,4.0
What can be startling?,firecrackers can be startling,4.0
What kind of circulatory system does a reptile have?,Reptiles have a complete digestive system and closed circulatory system,4.0
Milk is nutritious and prevents what?,Milk is nutritious and prevents dehydration.,4.0
Carbon may be stored in what for years?,Carbon may be stored in marble for years,4.0
what are antigens?,antigens are proteins,4.0
What does looseness of soil have an impact on?,looseness of soil has a positive impact on plant nutrients,4.0
What attracts pollinators?,Something a daisy has attracts pollinators,4.0
Animals will require moving habitats if what happens to the animal in a location?,"If humans disturb animals in a location, animals will require a moving habitats.",4.0
"With a change in temperature, what does a solid become?",Temperature changes can cause a solid to melt into a liquid.,4.0
What detects hybrids of the substance that helps assemble proteins?,A luminometer detects hybrids of the substance that helps assemble proteins.,4.0
What uses unsaturated fatty acids to store energy?,oaks use unsaturated fatty acids to store energy.,4.0
what keeps food fresh?,refrigerators keep food fresh,4.0
What causes an  animal population to decrease?,Air pollution damages animal populations causing them to decrease,4.0
plants roots associate with bacteria in where,plants roots associate with bacteria in soil,4.0
Running water is able to do what to minerals and oxygen?,Running water is better able to dissolve oxygen and minerals than standing water.,4.0
What increases the amount of organic matter in soil?,Dissolved oxygen increases the amount of organic matter in soil,4.0
What can be used to power households?,wind can be used to power households.,4.0
How can animals like cyptosporidium be classified?,Animals like cyptosporidium are often classified on how they move.,4.0
what are goggles used for?,goggles are for protection,4.0
What is formed when sediments push down on green plants?,Oil can be formed by sediment pushing down on simple green plants.,4.0
Dead tissue can be caused by what?,microorganisms can cause dead tissue.,4.0
what is a central nervous system stimulant?,coffee is a central nervous system stimulant,4.0
