question,sentence,sia_score
The looseness of soil increases the amount of what in it?,air,4.0
A kitten curled up against a cool marble slab will,chill,4.0
"A person wants a room that is artificially brightened to go back to darkness, so they",adjust a switch,4.0
Elimination of their body's waste is,a commonality all life forms share,4.0
migration is when animals travel from the north to Texas during what segment of time?,winter,4.0
examples of pollution include all but,laundry soup,4.0
"if two things seemingly come closer together without a person interfering, which of these is likely?",the objects could have magnetic properties,4.0
Why would a plant not do well indoors?,the chlorophyll has less light energy to absorb,4.0
"An alien creature is found on earth. Researchers discover that it will eat worms, insects and small rodents, but shuns bananas, leaves and cucumbers. Which of these could be true?",the creature is a carnivore,4.0
A person puts a potato in some embers on the edge of a campfire and the potato gets hot. The embers are,a exothermic reaction,4.0
"Animals you see on the way to work or school, every animal on Earth does what?",intakes air,4.0
What is present during the day but not at night?,sunlight,4.0
What can cause light to bounce off an object?,surface with aluminium,4.0
A ficus can help respiration because it:,releases oxygen,4.0
which pairs would likely be consumed by squirrel families?,peanuts and crackers,4.0
the sun transfers solar energy from itself to the Earth through,sunradiation,4.0
"When an object moves, how will its kinetic energy be affected?",escalate,4.0
A lever is used to move objects that are,hefty,4.0
Transpiration involves,H2O traveling about a daffodil's system,4.0
"Because of human logging activities, some animals have to conserve their",food,4.0
A plant will have difficulty growing larger if it is held away from,liquid,4.0
Rock that has been metamorphosed will have potentially withstood this to get to that point,large exertions,4.0
Holding a hot dog over a campfire makes it,stiffer,4.0
Depressions in building materials that fill with frozen water will,expand,4.0
Energy will be expended for,a monkey with a puncture wound to get better,4.0
Our only satellite is found with the other,nine planets,4.0
"If a person wants to feed their pet alligator, they will stock up on",guppy,4.0
A typhoon can potentially cause,overflowing wetness,4.0
Hunting any kind of animal will eventually cause that species population numbers to,go down,4.0
A cypress tree's stout roots splitting asphalt is an example of,weathering,4.0
Which is likely to be digested?,hush puppies,4.0
There are very few species of plants and animals in places like the North Pole because the temperatures are always very,low,4.0
A side effect of having a Husky as a pet is that when she sheds,it takes hours to vacuum all of the fur,4.0
Millilters mL is a unit generally used for values between 1 and 1000 to measure,the space inside a container,4.0
Which of the following is an example of ecological succession?,"Trees, insects, and birds in a forest grew from wildfire-ravaged lands",4.0
To survive living things,need H2O,4.0
Plants brought to the western United States from the eastern United States often die because of,the wrong climate,4.0
A ball can be moved by force when,a foot exerts,4.0
Why is that tulip red?,genetics,4.0
"If too many humans move into to an given area they may take more resources then possible to sustain themselves, which is what concept?",reproduction going over,4.0
which of these indicate non-living tree?,it lies horizontally on the park grounds,4.0
A common household item that may be a ferrous metal is,pans,4.0
Which would likely need a hot plate?,chemistry class,4.0
A reflector is used to reflect,sunbeams,4.0
Which part of a pencil comes most directly from rocks?,the middle,4.0
"In the morning, Rebecca saw some fluid in the gutter. Later, it was gone. What happened to it?",evaporation,4.0
Which is the most likely scenario,squirrels save nuts when summer is hotter than the current season,4.0
trees will grow from,hack berries,4.0
An object converts electrical energy into sound on a,iphone,4.0
Which of these animals might eat a steak?,Lion,4.0
The pips of a pumpkin are most commonly,seasoned and devoured,4.0
A person wanting to continue to use a man-made box will,find new uses for it,4.0
"To discover how tough a certain mineral may be, one would",attempt to leave a mark on it,4.0
In which situation would there be the greatest amount of humidity?,before a hurricane,4.0
If a liquid disappears then what probably happened to it?,gas transformation,4.0
Which is likeliest to let a spark pass through?,a soda can,4.0
Two females usually can produce,nothing,4.0
Sticky balls from a plant can grow a new plant miles from the original because,a bear unknowingly transported it,4.0
"If something is able to grow from a kernel and insects assist in reproduction, then it is probably a",carnation,4.0
Animals help with seed dispersal due to the seeds from the fruit they eat being,expelled via excrement,4.0
"When the ground shakes, this will make",a roof shake,4.0
Marbles in the right light make,rainbows,4.0
An area of dirt may have rivets in it depending on,if soil has been altered,4.0
A bee is a pollinating,moving alive thing,4.0
Why would something appear blue?,it reflects the same wavelength as the sea,4.0
The crawling pace of limestone removal from an area produces,homes for bats,4.0
the moon rising occurs,7 times a week,4.0
You might recycle plastic by creating,beanies,4.0
A peach pit holds the beginning,nutrients,4.0
What can be produced when electrical energy is provided to a blown piece of glass with a wire inside?,luminescence,4.0
Which kind of behavior has a fixed action pattern?,migration,4.0
This non-native crop is now available in Africa,corn,4.0
Lava is found above the ground because when there is lava there is,a movement happening,4.0
An example of instinctive behavior is,southern winter flight,4.0
What is a likely product of a timber companies activities?,the ruler in your backpack,4.0
"If a screwdriver is bought from a high end store known for high quality, it will most likely end up",passed down from parent to child,4.0
What might have more radiation?,cigarettes,4.0
"The doorbell was pushed, but sound failed to emit. What might cause this?",Batteries dead,4.0
What makes the best wiring?,Tungsten,4.0
The only way for mammals to have a family is to,reproduce,4.0
An example of weathering is,a smooth river stone,4.0
light can travel through,matterless places,4.0
A human who goes long periods of time without nourishment will experience,Starvation,4.0
An example of a change in the Earth is,a volcano erupting in Hawaii burning through a forest,4.0
Smoking causes direct damage to what?,breathing organ,4.0
A mother births what?,younglings,4.0
"over a period of three years, a farmer cultivates, corn, millet and potatoes. What is this exemplary of?",a manner of rotating,4.0
Offspring receive genes from their parents via what?,double helix,4.0
Kelp has to have provisions to,maintain life,4.0
Which would be excluded from a list of forms of reproduction?,bisexual reproduction,4.0
dry wood easily,incinerates,4.0
What displays the movement of electrons from the base atoms?,plasma star,4.0
A place without a sand bar is indicative of which of these characteristics?,a downstream movement without sediments,4.0
An action that may provide a small bit of warmth could be,smashing hands together repeatedly,4.0
Where would jumping be the hardest?,Jupiterr,4.0
which of these has the most similar component as the earth itself?,the stone in the yard,4.0
What could be used to fill a beach ball?,Oxygen,4.0
An indian hawthorn that has received more water will usually be,taller,4.0
Which of the following is a true statement?,a robin has warm blood,4.0
Classes and categories are both part of,designating,4.0
The sun was straight above us when we,took a break,4.0
This material was less of a thermal conductor,thermal underwear,4.0
It changes from winter to spring because of a,star,4.0
"if a student locates their pen on the table across the room, which of these happened?",there was light from pen to cornea,4.0
If a person is navigating then they are most likely,holding a wheel,4.0
"Coyotes notice that their territory begins to get more and more dry. This means that in order to properly hydrate, the coyotes will need to",migrate for fluid,4.0
"A person wants to turn on an MP3 player, so they complete a circuit by",pressing a button,4.0
The removal of trees may cause damage to ecosystems such as,jungles,4.0
A thermal insulator between a stove and a pan would make the pan get hot,slower,4.0
"Animals cope with the differing temperatures in different ways. When its hot out, which animals pant?",canines,4.0
Which are likely slightly larger in size than its liquid counterparts?,solid glaciers,4.0
High areas can be visually represented by:,mountains,4.0
Plants use chlorophyll to,absorb energy that the closest star provides,4.0
Which would be considered a learned behavior?,dogs playing fetch,4.0
Elk are protected where?,nat'l parks,4.0
A pulley is used to lift what on a flagpole?,national symbols,4.0
Bears hibernate in winter because,the environment is colder and has less food,4.0
What kind of insects lays eggs during the adult stage of its life cycle?,queen,4.0
How can you get more song birds to visit your yard?,hang an open box containing tasty seeds from a tree,4.0
If a plant is moved from a basement to a field,it will receive nutriment,4.0
"If a river is flowing down the east side of a hill, then the hill",drops sharply right there,4.0
A field of flowers has pollen filled flowers. The most likely thing to do the seed spread would be,avian creature,4.0
What has a positive impact on a bodies strength?,pumping iron,4.0
Precipitation sometimes leads to,caves,4.0
"A horse is kicked out of the barn on a hot summer's day, because the stalls need mucked, and the workers have difficulty cleaning around the horses. So the horse is standing in the field, in direct sunlight, and begins to overheat a bit. In order to stand the heat better, the horse",perspires,4.0
Which of these would you use in order to figure out why buildings may have collapsed?,seismometer,4.0
condensation is a stage in what cycle process?,h2o,4.0
Due to weathering,holes in the pathway,4.0
Iron can be found on,rocky areas,4.0
Which likely provides a neutral effect to local organisms?,stormy weather,4.0
"A person wants to use a chemical energy to power a radio, so they change out the energy source through",AAs,4.0
"High surface air temperatures, arid conditions, land overuse and over-population can all contribute to",wildfires,4.0
A thermal insulator slows the transfer of what?,warmness,4.0
Why do  berries exist?,reproducing,4.0
recycling has a positive impact on the,surrounding creature homes,4.0
What might damage a hard walkway that runs alongside a street?,a tree nearby,4.0
The last celestial body in our solar system without an orbit is,a meteor,4.0
"If the crust of a planet is adjusted in short order, a likely culprit is",quivers,4.0
A person going home would head,to a duplex,4.0
matter in the liquid phase has what shape?,adaptable,4.0
"If a hill has a sharp decline on a side, water will first run down",sharpest side,4.0
"A person eats some berries in them while camping in one location. In another location, miles away, they defecate outdoors. A result of this is",berry pips relocating,4.0
"as a source of light becomes closer , that source will appear",heavily luminous,4.0
When a plant is water the liquid goes from the soil area to where it is needed using what system?,xylem,4.0
A filament that is in a glass container will be this when a switch is flipped to cause glass to glow:,toasty,4.0
Ligers are less likely to thrive when there is,famine,4.0
When light enters the eye through the pupil the light falls on the what?,optic disk,4.0
What is lava found above?,natures floor,4.0
A good reason for humans to feel little fear for wild wolves is that,wolves elude humanity,4.0
A ferret darting around a space in the wild in a panic is likely,eluding foe,4.0
Which of the following prolongs combustion?,candle wax,4.0
Which is a carnivore?,a shark,4.0
I can use a Punnett Square to determine if,I'll be able to twist my tongue,4.0
"In a strong tempest, a large boulder may be",smoothed,4.0
If I wanted to maintain energy I could,leisure nap,4.0
Which of these uses shelter for protection against weather?,a centipede,4.0
A granite counter top,is made of minerals,4.0
Salt dissolves better in a pot of water after,setting the burner to maximum,4.0
What part of the backyard is cooler than the other parts?,the part by the oak tree,4.0
Scales,help users know if they need to drop some lbs.,4.0
A plant will be able to photosynthesize even better when,it spreads out leaves flat,4.0
Northern countries have extensive erosion due to,glacial liquification,4.0
"When the weatherman says to expect a storm, he most-likely is telling you to watch for",downpour conditions,4.0
A cloud gets fat and heavy because,precipitation condenses,4.0
The North Star is,many intergalactic beings,4.0
A successful combination of things is,milk and honey,4.0
if something is outside during the day then that something will receive what?,astral beams,4.0
Evaporation of a pond can happen and will lead to what?,a pond of less size,4.0
"A person wants to get better acquainted with dogs, since they have a serious fear of them. This fear was probably",learned,4.0
"If an animals starts eating fewer calories than its used to, its body will eventually",shrink,4.0
New plants sprang up everywhere seeds were taken by,cool breezes,4.0
air masses are pushed by westerlies but stopped by,meandering air currents,4.0
"When sugar is added to water, it blends in such as in which drink?",lemonade,4.0
An early example of harnessing wind power would be,cloth on masts,4.0
seasons change due to the earth's,degree of angle,4.0
What can can cause more harm then good when used?,anti bacteria soap,4.0
What is decomposed in decomposition?,lifeless life forms,4.0
What provides the energy to open a doorknob?,you,4.0
Yeast deposited in an oven from a closet,rises,4.0
A compass,knows orientation,4.0
What can cause a process that has a negative effect on the environment?,tillage,4.0
The nimbleness of this animal is a key adaption that allows it to escape attacks from predators:,the antelope,4.0
As our globe makes a complete quick cycle it can and does see the passage of,multiple hours,4.0
If one mineral can scratch another then the scratched mineral is what?,mushy,4.0
When would you want a radiator the most?,winter,4.0
Screws and bolts are needed to do what with a bike?,construct it,4.0
Where do bees get nutrition?,a powdery substance found in the reproductive parts of plants,4.0
who would see better through an underground tunnel?,a man with a candle and match,4.0
A large turbine in a field can produce electricity to power devices when,a breeze is floating,4.0
Deer can be responsible for which activity?,transporting seeds,4.0
What does harming an organism cause?,population decrease,4.0
Nocturnal predators hunt during when?,sleepy time,4.0
Preferences tend to be,learned attributes,4.0
Standing in a canyon and yelling your name,will cause your name to reverberate thru the canyon,4.0
Tearing an object changes that object's,formation,4.0
For nutrients to be absorbed from food it needs to,enter the mouth and be expelled out the rectum,4.0
A wolf would eat,an ibex,4.0
"A frog will hibernate by burying itself in mud, freezing, then thawing again in the spring. The only of these that also go through a somewhat similar process in cold times is",grizzlies,4.0
What does a leaf need to do to absorb the most sunlight that it can?,Grow very large,4.0
Force causes the speed of an object to do what?,uptick,4.0
An example of reproduction is,mestrual vessel releasing,4.0
Vitamin D heals what?,human frame,4.0
"There are nutrients in dirt, like magnesium, and those nutrients may be",collected into vegetation,4.0
"Like humans, when some animals get hot, they do what in order to lower their body temperature",perspire,4.0
If you're suffering from hypothermia it would help to get close to,an oven,4.0
"A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes",are found and erupt beneath the water,4.0
the inability of a once breathing organism to function can be described as?,a state of being dead,4.0
Which activity involves exerting force on an object with a foot?,kickball,4.0
Which of the following likely occurs in nature?,pools evaporate,4.0
Why might owning a house on an ocean be an issue after a few decades?,beachfront property shrinking,4.0
As the earth glides from winter into spring you will witness,leaves growing,4.0
35 percent of what depends on pollination?,crops,4.0
Melting point means temperature at which a solid does what?,gets melty,4.0
"If an animal is living, then",it is taking in air,4.0
Where could you most likely jump to the top of a mountain?,on the moon,4.0
Leaving remain oil supplies alone is a form of,conservation,4.0
"A person wants to collect green slime, so they seek out",damp gutters,4.0
"If a thing is using other animals for nourishment, then the thing is a",predator,4.0
Which are likeliest to rely on nonrenewable resources?,cell phones,4.0
Corn would likely provide nutrients to,a raven,4.0
A bean sprout will beautifully boom if given plenty of access to,H2O,4.0
H2O allows for the conduction of,electrical potential,4.0
Bats use the organs on the side of their heads to,receive short radio pulses,4.0
The animals that never migrate never do so because they were born,without the instinct,4.0
The people who live after you will appreciate it if you take your glass bottles and,reuse them,4.0
Which is likeliest to provide a home for many species?,a log,4.0
Heat causes,water to turn to vapor in a process called evaporation,4.0
A bear is fortunate enough to,see a rainbow,4.0
The force required to swim through ocean water is greater than the force needed to swim in a heated pool because,pool water has less mass and density than saltwater,4.0
What kind of impact does exercise have on a humans health?,skyrocketing,4.0
Baby bats start doing what after at least a month after birth?,scavenging,4.0
Clouds flit and flow,above our heads,4.0
"If a thing is procreating, then it is",aged enough,4.0
"if the boiling point of water is attained, what ensues beyond this point?",the water turns evaporates rapidly,4.0
Eagles survive by dining on,salmon,4.0
To create paper you will first have to acquire a supply of,pulp,4.0
refraction is when light bends and when it stops producing light after hitting something its its,absorbtion,4.0
The moon,has less matter than Earth,4.0
The sidewalk next to a house having a crack in it and having vegetation growing from it is considered?,weathering,4.0
"A person wants to dry their clothes for work. They seek out some energy that can be continuously gotten without running out, so they dry clothes using",the sun,4.0
"Just like with humans, if another organism consumes more calories than it burns off, it will inevitably",get fatter,4.0
"An iris may have trouble thriving in an arid location, or even in a frozen location, because it needs",a certain climate to boom,4.0
Splitting and fusing billions of atoms at the same location in space produces,illumination,4.0
A scale is used to measure what?,fatness,4.0
"Many things in nature change during the seasons, and the most noticeable one in winter is that the plants all",shrivel away,4.0
An example of an offspring receiving a gene is,moles,4.0
What will be more available in an area when rain is common?,h2o,4.0
Two cats in different rooms may share information by,vocalizing,4.0
Air is considered to be a vehicle for..?,Sound,4.0
A lot of animals would avoid,piles of discarded diapers,4.0
The most daylight is two months after,April,4.0
"If a being is moving regularly, then that being is",probably strong,4.0
If two objects have the same charge then what will they do to eachother?,push away,4.0
A thing which may be found at a special location for reusing materials is a,rusted aluminum tray,4.0
A consequence of polluting could be that,fish become inedible,4.0
Loose dirt in a garden may be from,voles,4.0
"To replenish the shade in a city that had been provided by trees that were felled by a storm, you must",introduce replacement timber producers,4.0
"To move electrical energy around a field, a person would use",tin pipes,4.0
I have to plug in a processor of food because it,is an electric Motor,4.0
"If you fly from Europe to Australia in December, when you arrive you will most likely want to wear:",shorts,4.0
Which number is likely an inherited characteristic of a human?,5'10,4.0
Hitting a spider web with your hand makes it impossible for a spider to,eat,4.0
Weakened agents are introduced to kids to prevent,measles,4.0
"There are some decorative fruits used for holidays where the outside is carved, such as large orange ones. The insides of these fruits, similar to gourds, most commonly",may have moisture removed and inside parts are devoured,4.0
Hummingbirds contribute to seed dispersal by,consuming flower sustenance,4.0
The running of the bulls in mexico is a source of what type of energy for the object?,kinetic,4.0
Kool-aid is a mix of what items as a solution?,sucrose crystals and flavors dissolved in liquid base of water,4.0
The outer shell of our planet is made of,sedimentary formations,4.0
It's most likely to rain when the color of the sky looks,dark and Silvery,4.0
What is decomposed in decomposition?,lifeless life forms,4.0
"A bird is about to lay an egg, so it needs to construct a safe, round place to place the egg in. The bird constructs using",sticks,4.0
Which is the source of a nonrenewable resource?,oil deposits,4.0
when the earth's plates grind against each other it can be detected with a,seismograph,4.0
"When a person gets hurt physically, the person feels pain because there are",electric reactions,4.0
A boy puts some vinegar in a glass of some bleach and finds,both are adjusted,4.0
Which would likely render a habitat dead?,an apartment complex,4.0
A resource from nature are,briny waves,4.0
The slight angle of the axis of the human planet is responsible for the energy allotment that is received by what?,all countries,4.0
"There are creatures which, depending on species, have varying numbers of body parts. Arachnids have a certain number, while humans have a different number, and these numerous parts can be attributed to",inherited characteristics,4.0
"If a white bear lives in a space and is going to flourish, the space should mostly",match his fur color,4.0
The skeletal system protects the,stomach,4.0
"if a person needed two objects to be more alike in appearance, they could",apply identical layers of pigmentation,4.0
You can make an untraceable bullet with,frozen water,4.0
A person puts liquid matter in a glass and it,is shaped similarly,4.0
how does an animal know to perform certain crucial life actions before exposure to it?,it is built into their very being,4.0
strumming a string can cause what type of wave?,Pressure,4.0
"Two parakeets, each in a separate house, each in a windowless room, may share information through",squawks,4.0
The northern hemisphere experiences winter,the month after November,4.0
"Dairy has things in it that would make humans sick, so in order for dairy to be edible, this process has to take place",pasteurized,4.0
Many things happen when the seasons change. One example is when plants go from big and bloomed to,dead,4.0
Where would you most likely find a full-grown Thorius adelos?,forest,4.0
Poison causes harm to,wombats,4.0
Food is less risky to consume when,fully cooked,4.0
"If a bird has a larger beak than its friends, it likely had",ancestors with similar beaks,4.0
You are likely to find the fewest amount of animals in,the Arctic,4.0
with which could you tell the exact size of an object?,a plastic tape with graduated markings,4.0
"A creature that is lacking domestication, and is also lacking a wild space, perhaps occupies",a displayed habitat,4.0
light is unable to shine through what?,wood,4.0
If I wanted to get energy what could I do?,Eat a cucumber,4.0
Which uses gills to breathe?,hermit crab,4.0
As wolves need more energy to catch fast prey,their heart rates will go higher,4.0
What requires nutrients for survival?,badgers,4.0
"A pot of potatoes is left on a stove at medium heat. The person cooking forgets that the potatoes are cooking and they cook for twelve hours. When the person checks on them after half a day,",they are singed,4.0
Coral is a type of living organism which can be identified in,saltwater locations that are open,4.0
Ice melting erodes,granite,4.0
Ferrous metals can comprise items such as,Fe armor,4.0
An example of migration is,when flocks relocate,4.0
Steve's ears alerted him to something. It was,waves in the air,4.0
What would light bounce off of when it hits it?,a freshly waxed car,4.0
"When there is an increase in atmospheric temperature, then",Antartica and Greenland icebergs will melt,4.0
All things which are alive will require this at some point or at many points during its existence:,droplets,4.0
"When a microscope magnifies, it is",enlarging,4.0
On what surface does a braking car have the most trouble?,oil slick,4.0
"If a species of animal is endangered or going extinct, it's because too many of them have stopped",mating,4.0
Sprinklers during the summer is prohibited because of,vaporization,4.0
Skin can protect your,squishy bits,4.0
Bananas spread their chromosomes because of,bats,4.0
Butterflies will often times have coloring that at look like eyes on their wings for,protection,4.0
"Dead organisms, like trees provide",thriving communities,4.0
Humming birds may help the growth of,tulips,4.0
Plants expel a gas that,our circulatory system spreads to our body from our lungs,4.0
A fox that has white fur,got it from genetics,4.0
Which organism likely contains chlorophyll?,bamboo,4.0
"if a predator wanted to catch its meal undetected, which method would be effective?",hiding behind a bush with similar colors as itself,4.0
Electricity is able to flow through a circuit after it is...?,fully complete,4.0
A person seeking out natural resources would start looking,in a pond,4.0
What covers over 90% of the Earth's surface and 0% of the moon's surface,that which contains 2 hydrogen and 1 oxygen molecules,4.0
What object would absorb the most solar energy?,coal,4.0
"A person wants to take their dog to the park as long as there is a lack of precipitation that day. After checking the weather channel, plans are canceled when it is announced that it will",sprinkle,4.0
A source of heat may come from,holding hands,4.0
"A squirrel eats all of the acorns in a tree. The tree is empty, and the squirrel is still hungry, so",the squirrel leaves,4.0
Toasting already-baked bread requires using,a thermal conductor,4.0
condensation is a stage in the water cycle process when,a moist film is on my spectacles,4.0
Which is an inherited characteristic?,bone thickness,4.0
At the end of their season lumberjacks will seed a new,track of land,4.0
"Environments like the rain forest have such an abundance of flowers and plants due to the amount of what, which is needed for vegetation to thrive?",water,4.0
The population of plants will go down if,there's less liquid around,4.0
What births live young?,a tail having tree dweller,4.0
"If a deer lives in a place with trunks, the area is likely to be a color matching a",grasshopper,4.0
Which would a carnivore eat?,blobfish,4.0
"The moon is bright in the night sky, especially when full because",sunlight brightens it,4.0
A green container with white arrows in a circle indicate it's a receptacle for,trash that can be used for a new purpose,4.0
"At nighttime, which are you most likely to see?",the big Dipper disappearing over the horizon,4.0
A telescope is used to observe what?,heavenly bodies,4.0
soil is formed by,animals stepping on dead leaves and crushing it into bits,4.0
What do herbivores eat,radishes,4.0
"The earth has continents that experience different things at different times, depending on where on Earth's axis it is, such as",Christmas,4.0
"If a fuel is a biofuel, it may be",corn,4.0
What causes orbits?,planetary pull,4.0
One way humans cause pollution,using antibacterial soap,4.0
If an organism dies what happens to that organisms population?,subsides,4.0
The topography of our only natural satellite's surface is,mountainous,4.0
Which makes a sound when you interact with it?,something invented by Sax,4.0
When I play a violin the strings and create sound through,A quake,4.0
An example of feeling could be,clothes on the thighs,4.0
Which rock is a fingernail harder than?,Graphite,4.0
Many animals entered the city because of,logging,4.0
Which likely would taste most similarly to sugar?,a tangerine,4.0
Sea anemones,look like flora,4.0
Which can view an ocean?,dogs,4.0
What force causes a compass in Illinois to point towards Wisconsin?,natural magnetism,4.0
A river is moving along a path and a piece of paper falls in it. The paper,relocates,4.0
A bunch of lava that is sitting somewhere could create on its own,a flat raised area,4.0
The excretory system removes waste from what?,persons insides,4.0
An example of an instinctive behavior could be,revenge,4.0
Which is the least massive?,the moon,4.0
"if a person rips up their notebook, what happens?",all the mentioned options,4.0
"A person has a clean yard at the beginning of a season. As the seasons go on and the trees in the yard grow,",the yard needs to be raked more,4.0
Certain countries make it illegal to bring in certain species of animals that breed very fast because that will lead to,overpopulation,4.0
A raccoon be most likely to live near which of the following?,a human garbage dump,4.0
When a song is played your ears can,perceive the rhythm,4.0
Overeating,causes the number on the scale to go up,4.0
which one of these students can accurately determine the color of the board marker?,a student gazing upon it,4.0
A weed will only live in the,dirt,4.0
How can you help to ensure that you will stay free from becoming ill after eating meat?,cook it very thoroughly,4.0
it's important to recycle metals because they are,nonrenewable,4.0
As the air becomes more arid it contains,less humidity,4.0
Wind is a resource that,can be retrieved repeatedly,4.0
One way we pollute could be,throwing plastic in the pacific,4.0
Large fluffy clouds in winter may,precipitate,4.0
A bucket of hot water has steam rolling off of it. The steam collects on the sides of the bucket and,pools,4.0
"If I wanted to disguise myself, what might be something I do?",Color my epidermis,4.0
A seismometer would be ineffective,on a star,4.0
People can touch something to see if it's,wrinkled,4.0
which one of these could eventually facilitate an intoxicating drink?,a cob of corn,4.0
what can baking soda and vinegar do together?,a combined reaction,4.0
"When you put a cold sandwich in the microwave, it will",escalate in temperature,4.0
Which would result in the worst consequences if placed in a full bathtub?,a powered toaster,4.0
You can work longer when,spring changes to summer,4.0
A ball is tossed to a person who misses it and is unable to catch it so,it falls,4.0
Bacteria can cause people to become what?,unwell,4.0
a Punnett square is used to identify the percent chance of a trait being passed down from a parent to its what?,younglings,4.0
Which is the most dangerous to trees?,industrial saws,4.0
Sunlight can,bounce from a rod,4.0
Which of the following results from a chemical reaction involving baking soda?,Science fair volcanoes,4.0
cutting down trees in a forest causes the number of trees to decrease where?,timberland,4.0
Thermal conduction is,a dog's paws touching summer scorched pavement,4.0
Which would result in the most dangerous driving experience?,heavy fog,4.0
What is a renewable source?,energy from the yellow dwarf star closest to us,4.0
People shiver when they are cold and animals:,do the same,4.0
Lighting a candle causes that candle to what?,scorch,4.0
"A team has pizza after a game, and they eat most of it, but leave the rest of the pizza out. The pizza is later inedible because of",lack of food preservation,4.0
Worms die off during a heat wave. What affect does this have on the local fauna?,Flying creatures have more trouble finding food,4.0
Chimpanzees dig for insects with sticks; what is another example of using tools?,otters using rocks to open clams,4.0
Tides can change in different locations because,the pacific's bottom,4.0
What does a frog eat?,mayflies,4.0
A close object will seem to be,ginormous,4.0
Which would be a source of pollutants?,cars,4.0
A maglight puts out,a beam,4.0
A thing which has great physical capacity is most likely,in fantastic health,4.0
"When the moon, sun, and earth line up, tides are at their",Max,4.0
Greenhouses are great for plants like,French beans,4.0
A piece of paper is a different shape when it,is made into a paper fan,4.0
"If the temperature is 34 degrees Fahrenheit, what could be put on top of the icy sidewalk to turn the ice to liquid?",sodium,4.0
